City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,lesnoy,57.6198,63.0784,274.75,91,100,4.38,RU,1679420911
192,bathsheba,13.2167,-59.5167,302.49,58,20,10.29,BB,1679420911
193,rabaul,-4.1967,152.1721,298.78,72,28,1.26,PG,1679420912
194,fort nelson,58.8053,-122.7002,270.9,62,0,1.54,CA,1679420877
195,nantucket,41.2835,-70.0995,285.23,61,0,6.69,US,1679420913
196,fare,-16.7,-151.0167,300.67,76,40,6.19,PF,1679420913
197,zilair,52.2332,57.4392,268.44,92,82,0.91,RU,1679420913
198,olafsvik,64.8945,-23.7142,273.25,66,100,17.14,IS,1679420914
199,morelia,19.7008,-101.1844,297.67,16,0,2.5,MX,1679420807
200,carnarvon,-24.8667,113.6333,296.99,81,36,6.43,AU,1679420914
201,tarui,35.3667,136.5333,286.96,100,97,0.79,JP,1679420916
202,punta gorda,26.9298,-82.0454,298.71,45,0,2.06,US,1679420916
203,rabak,13.1809,32.74,301.15,9,89,3.89,SD,1679420917
204,vinstra,61.5952,9.7523,272.0,96,100,1.54,NO,1679420917
205,thabazimbi,-24.5917,27.4116,297.15,26,20,2.06,ZA,1679420917
206,aripuana,-9.1667,-60.6333,295.64,97,100,2.17,BR,1679420918
207,yefremov,53.1481,38.0992,276.72,79,57,3.02,RU,1679420918
208,korla,41.7597,86.1469,280.34,30,4,1.95,CN,1679420918
209,gat,31.61,34.7642,288.6,100,6,1.33,IL,1679420761
210,sao joaquim,-28.2939,-49.9317,297.27,58,66,0.55,BR,1679420919
211,tabou,4.423,-7.3528,300.66,79,63,4.27,CI,1679420919
212,paamiut,61.994,-49.6678,269.15,78,19,7.29,GL,1679420920
213,san jose,37.3394,-121.895,284.34,85,100,5.36,US,1679420888
214,leh,34.1667,77.5833,266.33,73,79,1.07,IN,1679420920
215,nanortalik,60.1432,-45.2371,274.46,76,100,3.37,GL,1679420486
216,udachnyy,66.4167,112.4,253.95,76,100,3.22,RU,1679420920
217,vestmannaeyjar,63.4427,-20.2734,276.7,75,40,19.55,IS,1679420921
218,benghazi,32.1167,20.0667,294.27,49,100,2.37,LY,1679420921
219,bandarbeyla,9.4942,50.8122,301.01,81,86,7.11,SO,1679420922
220,rocha,-34.4833,-54.3333,296.43,42,41,5.03,UY,1679420922
221,vad,55.5301,44.2114,274.3,96,100,4.46,RU,1679420922
222,hervey bay,-25.2986,152.8535,297.79,76,90,7.07,AU,1679420923
223,soyo,-6.1349,12.3689,300.34,78,20,3.27,AO,1679420923
224,cabedelo,-6.9811,-34.8339,301.52,71,85,5.49,BR,1679420697
225,mar del plata,-38.0023,-57.5575,299.17,58,40,4.12,AR,1679420833
226,airai,-8.9266,125.4092,288.95,90,100,0.49,TL,1679420924
227,provideniya,64.3833,-173.3,261.64,96,100,5.4,RU,1679420924
228,jibuti,11.5,42.5,302.44,38,5,3.2,DJ,1679420924
229,brigantine,39.4101,-74.3646,289.93,44,0,4.02,US,1679420925
230,souillac,-20.5167,57.5167,299.36,83,20,1.03,MU,1679420925
231,genhe,50.7833,121.5167,274.09,82,100,5.91,CN,1679420925
232,saint-augustin,51.226,-58.6502,273.58,93,100,3.31,CA,1679420926
233,ixtapa,20.7,-105.2,299.72,50,20,0.0,MX,1679420926
234,aswan,24.0934,32.907,297.76,23,0,2.57,EG,1679420926
235,naze,28.3667,129.4833,292.66,97,100,2.52,JP,1679420927
236,taunton,51.0211,-3.1047,286.19,83,85,4.47,GB,1679420927
237,camargo,27.6667,-105.1667,295.74,21,86,4.11,MX,1679420927
238,abu samrah,35.3029,37.1841,284.2,80,33,4.34,SY,1679420928
239,the valley,18.217,-63.0578,301.23,65,40,9.26,AI,1679420882
240,ostrovnoy,68.0531,39.5131,265.27,84,58,8.08,RU,1679420928
241,balkanabat,39.5108,54.3671,291.19,26,56,4.51,TM,1679420928
242,benguela,-12.5763,13.4055,298.51,85,99,3.81,AO,1679420929
243,sola,-13.8833,167.55,300.11,79,95,5.7,VU,1679420929
244,mufumbwe,-13.6833,24.8,291.42,93,66,1.79,ZM,1679420929
245,ati,13.2154,18.3353,304.44,20,14,1.49,TD,1679420930
246,colorado,-22.8375,-51.9731,301.58,62,5,1.52,BR,1679420930
247,emerald,-23.5333,148.1667,292.78,80,0,4.36,AU,1679420931
248,pevek,69.7008,170.3133,247.77,96,100,6.74,RU,1679420931
249,college,64.8569,-147.8028,264.86,76,75,1.54,US,1679420933
250,toplet,44.7972,22.3944,285.31,75,69,2.22,RO,1679420933
251,podporozhye,60.9112,34.1706,270.4,93,30,3.31,RU,1679420935
252,lata,40.1629,-8.3327,291.44,68,25,3.64,PT,1679420935
253,altoona,40.5187,-78.3947,287.4,22,11,1.34,US,1679420642
254,wuchi,29.3786,103.023,281.4,99,100,1.33,CN,1679420936
255,tatarsk,55.219,75.9828,261.77,91,100,3.08,RU,1679420936
256,mandera,3.9366,41.867,303.53,49,88,5.53,KE,1679420936
257,port hedland,-20.3167,118.5667,301.18,83,52,2.57,AU,1679420937
258,porto-vecchio,41.591,9.2795,286.96,77,0,2.57,FR,1679420937
259,eagle pass,28.7091,-100.4995,296.63,63,20,3.09,US,1679420938
260,aykhal,66.0,111.5,256.93,95,99,7.84,RU,1679420938
261,sioux lookout,50.1001,-91.917,267.19,38,40,3.6,CA,1679420710
262,torbay,47.6666,-52.7314,275.79,72,74,8.49,CA,1679420639
263,port-gentil,-0.7193,8.7815,297.13,100,40,2.06,GA,1679420939
264,asau,46.4333,26.4,281.66,88,100,0.86,RO,1679420939
265,agadez,19.75,10.25,303.39,8,0,7.3,NE,1679420939
266,alta,69.9689,23.2717,269.37,72,40,1.03,NO,1679420940
267,san giovanni rotondo,41.7049,15.7191,282.09,87,40,5.66,IT,1679420940
268,mareeba,-17.0,145.4333,295.06,92,100,1.09,AU,1679420940
269,ilulissat,69.2167,-51.1,266.16,68,75,2.57,GL,1679420941
270,tuatapere,-46.1333,167.6833,281.95,86,99,1.72,NZ,1679420941
271,labuhan,-6.8844,112.2051,299.32,80,43,0.6,ID,1679420892
272,san quintin,30.4833,-115.95,289.13,71,100,8.13,MX,1679420942
